day,nav_usd,wbtc_usd,nav_wbtc,roi_in_wbtc,roi_in_usd,alpha_vs_wbtc
2025-07-23,1.00077114,118678.09,0.00000843,0.000000,0.000000,0.000000
2025-07-24,0.99926840,118243.41,0.00000845,0.002169,-0.001502,0.002169
2025-07-25,0.99169300,117538.23,0.00000844,0.000539,-0.009071,0.000539
2025-07-26,0.99555231,117900.49,0.00000844,0.001346,-0.005215,0.001346
2025-07-27,1.00770869,119361.19,0.00000844,0.001170,0.006932,0.001170
2025-07-28,0.99608217,117941.86,0.00000845,0.001528,-0.004685,0.001528
2025-07-29,0.99410246,117824.17,0.00000844,0.000536,-0.006664,0.000536
2025-07-30,0.99366981,117759.02,0.00000844,0.000653,-0.007096,0.000653
2025-07-31,0.97660679,115719.05,0.00000844,0.000808,-0.024146,0.000808
2025-08-01,0.95282615,113161.54,0.00000842,-0.001494,-0.047908,-0.001494
2025-08-02,0.94535076,112445.03,0.00000841,-0.003015,-0.055378,-0.003015
2025-08-03,0.96308255,114170.29,0.00000844,0.000337,-0.037660,0.000337
2025-08-04,0.97203295,115008.37,0.00000845,0.002276,-0.028716,0.002276
2025-08-05,0.96222289,114081.98,0.00000843,0.000217,-0.038519,0.000217
2025-08-06,0.97380603,114969.43,0.00000847,0.004444,-0.026944,0.004444
2025-08-07,0.99488710,117487.02,0.00000847,0.004199,-0.005880,0.004199
2025-08-08,0.98830684,116646.18,0.00000847,0.004748,-0.012455,0.004748
2025-08-09,0.98681471,116419.73,0.00000848,0.005182,-0.013946,0.005182
2025-08-10,1.00972409,119192.39,0.00000847,0.004593,0.008946,0.004593
2025-08-11,1.00515911,118583.99,0.00000848,0.005182,0.004385,0.005182
2025-08-12,1.01542031,120044.15,0.00000846,0.003092,0.014638,0.003092
2025-08-13,1.03989435,123275.86,0.00000844,0.000338,0.039093,0.000338
2025-08-14,1.00171089,118391.59,0.00000846,0.003361,0.000939,0.003361
2025-08-15,0.99371075,117428.35,0.00000846,0.003513,-0.007055,0.003513
2025-08-16,0.99516745,117446.03,0.00000847,0.004832,-0.005599,0.004832
2025-08-17,0.99530797,117464.50,0.00000847,0.004816,-0.005459,0.004816
2025-08-18,0.98523657,116292.15,0.00000847,0.004676,-0.015523,0.004676
2025-08-19,0.95753923,112859.38,0.00000848,0.006131,-0.043199,0.006131
